Id,Label,timeset,modularity_class,pageranks,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1346835440888918017,1346835440888918017,,15,0.015385,1,1,1,1,0
1346835445624295425,1346835445624295425,,1,0,0,0,0,0,0
1346835454214221825,1346835454214221825,,19,0.007865,0.471078,2,0.642857,0.722222,0.450354
1346835455023738885,1346835455023738885,,7,0,0,0,0,0,0
1346835459578671105,1346835459578671105,,2,0.026161,0.284262,2,0.59375,0.657895,0
1346835465694019584,1346835465694019584,,19,0.013174,0.942013,2,0.870968,0.925926,5.237808
1346835470202843136,1346835470202843136,,11,0.1,1,1,1,1,0
1346835472568356865,1346835472568356865,,20,0.022484,0.32,3,0.478723,0.603704,16.333333
1346835477169627136,1346835477169627136,,23,0.022825,0.97445,5,0.485981,0.687179,14.211753
1346835489450463233,1346835489450463233,,1,0,0,0,0,0,0
1346835494496301056,1346835494496301056,,7,0,0,0,0,0,0
1346835495289036800,1346835495289036800,,20,0.021182,0.787581,4,0.46875,0.622222,0
1346835534979719169,1346835534979719169,,19,0.014671,0.995536,2,0.952941,0.975309,19.330618
1346835553711513601,1346835553711513601,,23,0.023655,1,5,0.490566,0.696795,18.938969
1346835556366512133,1346835556366512133,,12,0.013483,0.852786,3,0.744681,0.852381,0
1346835573583933441,1346835573583933441,,1,0,0,0,0,0,0
1346835580819185666,1346835580819185666,,1,0,0,0,0,0,0
1346835584375869441,1346835584375869441,,8,0.035714,1,1,1,1,0
1346835586984914945,1346835586984914945,,6,0.026497,0.868909,2,0.833333,0.9,12
1346835603191545857,1346835603191545857,,15,0.015385,1,1,1,1,0
1346835614537142273,1346835614537142273,,8,0.035714,1,1,1,1,0
1346835628663701504,1346835628663701504,,7,0,0,0,0,0,0
1346835631457103872,1346835631457103872,,1,0,0,0,0,0,0
1346835635974365186,1346835635974365186,,20,0.021182,0.787581,4,0.46875,0.622222,0
1346835652575330307,1346835652575330307,,1,0,0,0,0,0,0
1346835655301746689,1346835655301746689,,2,0.051599,0.948625,2,0.863636,0.921053,0
1346835656874590210,1346835656874590210,,20,0.022484,0.32,3,0.478723,0.603704,16.333333
1346835664919285766,1346835664919285766,,19,0.012129,0.882863,2,0.818182,0.888889,1.474956
1346835673899102213,1346835673899102213,,12,0.015614,0.973659,3,0.833333,0.919048,3.718466
1346835675094532101,1346835675094532101,,12,0.015614,0.973659,3,0.833333,0.919048,3.718466
1346835679506964480,1346835679506964480,,19,0.013174,0.942013,2,0.870968,0.925926,5.237808
1346835679511253001,1346835679511253001,,23,0.022825,0.97445,5,0.485981,0.687179,14.211753
1346835680022945796,1346835680022945796,,1,0,0,0,0,0,0
1346835683806072833,1346835683806072833,,5,0.25,1,1,1,1,0
1346835688172310529,1346835688172310529,,7,0,0,0,0,0,0
1346835698641416193,1346835698641416193,,1,0,0,0,0,0,0
1346835703846608896,1346835703846608896,,20,0.025543,0.538785,2,0.633803,0.711111,239.4
1346835705972998146,1346835705972998146,,23,0.009573,0.140909,4,0.390977,0.461538,205
1346835711232774144,1346835711232774144,,7,0,0,0,0,0,0
1346835719826927617,1346835719826927617,,20,0.021182,0.787581,4,0.46875,0.622222,0
1346835726126751748,1346835726126751748,,7,0,0,0,0,0,0
1346835728341164033,1346835728341164033,,1,0,0,0,0,0,0
1346835735828172801,1346835735828172801,,1,0,0,0,0,0,0
1346835744556507139,1346835744556507139,,6,0.032845,1,1,1,1,34.909091
1346835746368401409,1346835746368401409,,22,0.109122,1,1,1,1,2.5
1346835752450191361,1346835752450191361,,7,0,0,0,0,0,0
1346835753008066572,1346835753008066572,,11,0.1,1,1,1,1,0
1346835766912155656,1346835766912155656,,7,0,0,0,0,0,0
1346835784016359424,1346835784016359424,,7,0,0,0,0,0,0
1346835784444366850,1346835784444366850,,12,0.015358,0.963714,3,0.823529,0.911905,2.729645
1346835806699180034,1346835806699180034,,1,0,0,0,0,0,0
1346835823463985152,1346835823463985152,,19,0.003969,0.143598,3,0.525974,0.565844,0
1346835857068572678,1346835857068572678,,8,0.035714,1,1,1,1,0
1346835887456354306,1346835887456354306,,1,0,0,0,0,0,0
1346835902027468805,1346835902027468805,,15,0.015385,1,1,1,1,0
1346835914446684160,1346835914446684160,,12,0.017321,1,2,0.933333,0.964286,32.799304
1346835916934045696,1346835916934045696,,12,0.015107,0.952752,3,0.813953,0.904762,1.928467
1346835922927583233,1346835922927583233,,15,0.015385,1,1,1,1,0
1346835943924367360,1346835943924367360,,7,0,0,0,0,0,0
1346835964463697920,1346835964463697920,,8,0.035714,1,1,1,1,0
1346835971896193026,1346835971896193026,,7,0,0,0,0,0,0
1346835973175472131,1346835973175472131,,15,0.015385,1,1,1,1,0
1346835983619088384,1346835983619088384,,1,0,0,0,0,0,0
1346836003374432261,1346836003374432261,,12,0.01371,0.867214,3,0.752688,0.859524,0.181818
1346836016079003651,1346836016079003651,,15,0.015385,1,1,1,1,0
1346836024576630787,1346836024576630787,,7,0,0,0,0,0,0
1346836035859173376,1346836035859173376,,8,0.035714,1,1,1,1,0
1346836044252139520,1346836044252139520,,19,0.012325,0.888401,2,0.826531,0.895062,3.33572
1346836055912280069,1346836055912280069,,15,0.015385,1,1,1,1,0
1346836077617639425,1346836077617639425,,8,0.035714,1,1,1,1,0
1346836105275068416,1346836105275068416,,7,0,0,0,0,0,0
1346836123922833409,1346836123922833409,,8,0.035714,1,1,1,1,0
1346836127647465474,1346836127647465474,,12,0.015107,0.952752,3,0.813953,0.904762,1.928467
1346836144290488330,1346836144290488330,,20,0.020167,0.263353,4,0.368852,0.522222,0
1346836170500575234,1346836170500575234,,12,0.017321,1,2,0.933333,0.964286,32.799304
1346836173126303744,1346836173126303744,,15,0.015385,1,1,1,1,0
1346836178612277250,1346836178612277250,,19,0.012838,0.918645,2,0.852632,0.91358,4.192827
1346836230298886147,1346836230298886147,,19,0.013174,0.942013,2,0.870968,0.925926,5.237808
1346836232274403340,1346836232274403340,,23,0.023653,0.848796,5,0.477064,0.667949,118.499814
